	Movie	Month	Day	Release Year	Budget($M)	Domestic Gross($M)	Worldwide Gross($M)	URL	Language	Country	Genre	CastID	Rating	DirectorID
0	Avatar	Dec	18	2009	425.0	760.507625	2783.918982	/title/tt0417299/?ref_=fn_al_tt_1	['English']	['USA']	[]	['', '', '', '', '', '', '', '', '', '']		
1	Star Wars Ep. VII: The Force Awakens	Dec	18	2015	306.0	936.662225	2058.662225	/title/tt6524062/?ref_=fn_al_tt_1	[]	[]	['Talk-Show']	['', '', '', '', '', '', '', '', '', '']	7.1	nm0893659
2	Pirates of the Caribbean: At World's End	May	24	2007	300.0	309.420425	963.420425	/title/tt0449088/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Fantasy']	['nm0000136/', 'nm0001691/', 'nm0089217/', 'nm0461136/', 'nm0202603/', 'nm0631490/', 'nm0000596/', 'nm0034305/', 'nm0188871/', 'nm0573618/']	6.8	nm0005222
3	Spectre	Nov	6	2015	300.0	200.074175	879.620923	/title/tt2379713/?ref_=fn_al_tt_1	['English', 'Spanish', 'Italian', 'German', 'French']	['UK', 'USA']	['Action', 'Adventure', 'Thriller']	['nm0185819/', 'nm0910607/', 'nm2244205/', 'nm0000146/', 'nm0000899/', 'nm0924210/', 'nm0365140/', 'nm1176985/', 'nm0778831/', 'nm1239499/']	8.4	nm0634240
4	The Dark Knight Rises	Jul	20	2012	275.0	448.139099	1084.439099	/title/tt1345836/?ref_=fn_al_tt_1	['English', 'Arabic']	['UK', 'USA']	['Action', 'Thriller']	['nm0000288/', 'nm0000198/', 'nm0362766/', 'nm0330687/', 'nm0004266/', 'nm0182839/', 'nm0000151/', 'nm0000323/', 'nm0000546/', 'nm0009530/']	6.5	nm0893659
5	The Lone Ranger	Jul	2	2013	275.0	89.302115	260.002115	/title/tt1210819/?ref_=fn_al_tt_1	['English', 'N']	['USA']	['Action', 'Adventure', 'Western']	['nm0000136/', 'nm2309517/', 'nm0001209/', 'nm0929489/', 'nm2235721/', 'nm0000307/', 'nm0197647/', 'nm4591181/', 'nm0001608/', 'nm3303074/']	6.6	nm0004056
6	John Carter	Mar	9	2012	275.0	73.058679	282.7781	/title/tt0401729/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm2018237/', 'nm1211488/', 'nm0608090/', 'nm0000353/', 'nm0002006/', 'nm0835016/', 'nm0001354/', 'nm0922035/', 'nm0700856/', 'nm0186505/']	7.8	nm1977355
7	Tangled	Nov	24	2010	260.0	200.821936	586.581936	/title/tt0398286/?ref_=fn_al_tt_1	['English']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm0601553/', 'nm1157048/', 'nm0614220/', 'nm0000579/', 'nm0301370/', 'nm0001787/', 'nm0004951/', 'nm0006670/', 'nm0001423/', 'nm4169896/']	6.2	nm0397174
8	Spider-Man 3	May	4	2007	258.0	336.530303	890.875303	/title/tt0413300/?ref_=fn_al_tt_1	['English', 'French']	['USA']	['Action', 'Adventure']	['nm0001497/', 'nm0000379/', 'nm0290556/', 'nm0002006/', 'nm0333410/', 'nm0397171/', 'nm0365281/', 'nm0799777/', 'nm0000342/', 'nm0000622/']	7.4	nm0000600
9	Avengers: Age of Ultron	May	1	2015	250.0	459.005868	1404.705868	/title/tt2395427/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0000375/', 'nm1165110/', 'nm0749263/', 'nm0262635/', 'nm0424060/', 'nm0719637/', 'nm0000652/', 'nm0000168/', 'nm0000332/', 'nm1093951/']	7.9	nm0923736
10	Captain America: Civil War	May	6	2016	250.0	408.084349	1151.684349	/title/tt3498820/?ref_=fn_al_tt_1	['English', 'German', 'Xhosa', 'Russian', 'Romanian', 'Hindi']	['USA', 'Germany']	['Action', 'Adventure', 'Sci-Fi']	['nm0262635/', 'nm0000375/', 'nm0424060/', 'nm1659221/', 'nm1107001/', 'nm0000332/', 'nm0719637/', 'nm1569276/', 'nm0079273/', 'nm0647634/']	6.6	nm0751577
11	Batman v Superman: Dawn of Justice	Mar	25	2016	250.0	330.360194	868.160194	/title/tt2975590/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0000255/', 'nm0147147/', 'nm0010736/', 'nm0251986/', 'nm0000178/', 'nm0000401/', 'nm0000460/', 'nm0000456/', 'nm2933757/', 'nm1058940/']	7.9	nm0751648
12	The Hobbit: An Unexpected Journey	Dec	14	2012	250.0	303.003568	1017.003568	/title/tt0903624/?ref_=fn_al_tt_1	['English']	['USA', '']	['Adventure', 'Family', 'Fantasy']	['nm0005212/', 'nm0293509/', 'nm0035514/', 'nm0832792/', 'nm0574615/', 'nm0456270/', 'nm0626362/', 'nm1053536/', 'nm0641063/', 'nm2636108/']	7.5	nm0811583
13	Harry Potter and the Half-Blood Prince	Jul	15	2009	250.0	301.959197	935.083686	/title/tt0417741/?ref_=fn_al_tt_1	['English']	['UK', 'USA']	['Adventure', 'Family', 'Fantasy']	['nm0705356/', 'nm0002091/', 'nm0499270/', 'nm2917590/', 'nm0000980/', 'nm0813893/', 'nm0942247/', 'nm0910278/', 'nm0342488/', 'nm0914612/']	7.9	nm0001392
14	The Hobbit: The Desolation of Smaug	Dec	13	2013	250.0	258.366855	960.366855	/title/tt1170358/?ref_=fn_al_tt_1	['English']	['USA', '']	['Adventure', 'Fantasy']	['nm0005212/', 'nm0293509/', 'nm0035514/', 'nm0832792/', 'nm0574615/', 'nm0456270/', 'nm0626362/', 'nm1053536/', 'nm0641063/', 'nm2636108/']	7.4	nm0946734
15	The Hobbit: The Battle of the Five Armies	Dec	17	2014	250.0	255.119788	955.119788	/title/tt2310332/?ref_=fn_al_tt_1	['English']	['', 'USA']	['Adventure', 'Fantasy']	['nm0005212/', 'nm0293509/', 'nm0035514/', 'nm0832792/', 'nm0574615/', 'nm0456270/', 'nm0626362/', 'nm1053536/', 'nm0641063/', 'nm2636108/']	6.6	nm0001392
16	Pirates of the Caribbean: On Stranger Tides	May	20	2011	250.0	241.063875	1045.663875	/title/tt1298650/?ref_=fn_al_tt_1	['English', 'Spanish']	['USA', 'UK']	['Action', 'Adventure', 'Fantasy']	['nm0000136/', 'nm0004851/', 'nm0001691/', 'nm0574534/', 'nm0573618/', 'nm3510471/', 'nm2793591/', 'nm0334318/', 'nm0724189/', 'nm0341743/']	6.1	nm0001392
17	Superman Returns	Jun	28	2006	232.0	200.12	374.085065	/title/tt0348150/?ref_=fn_al_tt_1	['English', 'German', 'French']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0746125/', 'nm0098378/', 'nm0000228/', 'nm0005188/', 'nm0000205/', 'nm0001449/', 'nm0403134/', 'nm0001693/', 'nm0000008/', 'nm0671980/']	6.6	nm0551128
18	Quantum of Solace	Nov	14	2008	230.0	169.368427	591.692078	/title/tt0830515/?ref_=fn_al_tt_1	['English', 'Spanish', 'Italian', 'French', 'S', 'German']	['UK', 'USA']	['Action', 'Adventure', 'Thriller']	['nm0185819/', 'nm1385871/', 'nm0023832/', 'nm0001132/', 'nm0316284/', 'nm2605345/', 'nm0942482/', 'nm1092086/', 'nm0159802/', 'nm0851458/']	8.1	nm0001741
19	Pirates of the Caribbean: Dead Man's Chest	Jul	7	2006	225.0	423.315812	1066.215812	/title/tt0383574/?ref_=fn_al_tt_1	['English', 'Turkish', 'Greek', 'Mandarin', 'French']	['USA']	['Action', 'Adventure', 'Fantasy']	['nm0000136/', 'nm0089217/', 'nm0461136/', 'nm0202603/', 'nm0631490/', 'nm0000596/', 'nm0034305/', 'nm0188871/', 'nm0573618/', 'nm0047549/']	7.1	nm0923736
20	Man of Steel	Jun	14	2013	225.0	291.045518	667.999518	/title/tt0770828/?ref_=fn_al_tt_1	['English']	['USA', 'Canada', 'UK']	['Action', 'Adventure', 'Fantasy']	['nm0147147/', 'nm0010736/', 'nm0788335/', 'nm0000178/', 'nm0000128/', 'nm1662644/', 'nm0502015/', 'nm0771493/', 'nm0005221/', 'nm0000126/']	6.6	nm0893659
21	The Chronicles of Narnia: Prince Caspian	May	16	2008	225.0	141.62149	417.341288	/title/tt0499448/?ref_=fn_al_tt_1	['English']	['USA', 'Poland', 'Slovenia', 'C']	['Action', 'Adventure', 'Family']	['nm1602660/', 'nm1670137/', 'nm1342727/', 'nm0608440/', 'nm0691600/', 'nm0144812/', 'nm0227759/', 'nm0001116/', 'nm0335861/', 'nm0269419/']	7.0	nm0811583
22	The Amazing Spider-Man	Jul	3	2012	220.0	262.030663	757.890267	/title/tt0948470/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure']	['nm1940449/', 'nm1297015/', 'nm0406975/', 'nm0001459/', 'nm0000640/', 'nm0000398/', 'nm0451234/', 'nm0001714/', 'nm0001110/', 'nm3024712/']	7.0	nm0011470
23	Jurassic World	Jun	12	2015	215.0	652.19801	1670.328025	/title/tt0369610/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0695435/', 'nm0397171/', 'nm0451234/', 'nm0000352/', 'nm1339223/', 'nm3538718/', 'nm2159926/', 'nm1082477/', 'nm0000703/', 'nm0339460/']	6.8	nm1989536
24	Men in Black 3	May	25	2012	215.0	179.020854	654.213485	/title/tt1409024/?ref_=fn_al_tt_1	['English', 'Ukrainian']	['USA']	['Action', 'Adventure', 'Comedy']	['nm0000226/', 'nm0000169/', 'nm0000982/', 'nm1318596/', 'nm0000668/', 'nm0836121/', 'nm1591496/', 'nm0970122/', 'nm1985974/', 'nm1404408/']	6.0	nm1119880
25	Transformers: Revenge of the Fallen	Jun	24	2009	210.0	402.11187	836.519699	/title/tt1055369/?ref_=fn_al_tt_1	['English', 'Spanish']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0479471/', 'nm1083271/', 'nm0241049/', 'nm0879085/', 'nm0001806/', 'nm1913125/', 'nm0242656/', 'nm0925033/', 'nm1456970/', 'nm0382632/']	5.7	nm0001756
26	Transformers: Age of Extinction	Jun	27	2014	210.0	245.439076	1104.039076	/title/tt2109248/?ref_=fn_al_tt_1	['English']	['USA', 'China']	['Action', 'Adventure', 'Sci-Fi']	['nm0000242/', 'nm0001804/', 'nm0001288/', 'nm2443758/', 'nm2930503/', 'nm0920038/', 'nm0617009/', 'nm0508356/', 'nm2554352/', 'nm0045480/']	6.7	nm0000881
27	X-Men: The Last Stand	May	26	2006	210.0	234.362462	459.359555	/title/tt0376994/?ref_=fn_al_tt_1	['English']	['Canada', 'USA', 'UK']	['Action', 'Adventure', 'Fantasy']	['nm0413168/', 'nm0000932/', 'nm0005212/', 'nm0001772/', 'nm0000463/', 'nm0001593/', 'nm0001288/', 'nm0005188/', 'nm0005381/', 'nm0039162/']	6.7	nm0000881
28	Robin Hood	May	14	2010	210.0	105.26973	322.241588	/title/tt0955308/?ref_=fn_al_tt_1	['English', 'French', 'Ukrainian']	['USA', 'UK']	['Action', 'Adventure', 'Drama']	['nm0000128/', 'nm0000949/', 'nm0001884/', 'nm0000458/', 'nm0835016/', 'nm1209966/', 'nm0396812/', 'nm0040586/', 'nm0004692/', 'nm0532193/']	5.8	nm0711840
29	Battleship	May	18	2012	209.0	65.2334	305.218228	/title/tt1440129/?ref_=fn_al_tt_1	['English', 'Japanese']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm2018237/', 'nm0002907/', 'nm1982597/', 'nm2395937/', 'nm0038355/', 'nm0512934/', 'nm0000553/', 'nm0001493/', 'nm1732270/', 'nm0687146/']	7.2	nm0000631
30	The Golden Compass	Dec	1	2007	205.0	70.107728	367.262558	/title/tt0385752/?ref_=fn_al_tt_1	['English', 'Icelandic', 'Russian', 'French']	['UK', 'USA']	['Adventure', 'Family', 'Fantasy']	['nm0000173/', 'nm0185819/', 'nm2301950/', 'nm2036501/', 'nm0383603/', 'nm0005212/', 'nm1200692/', 'nm0141697/', 'nm0183822/', 'nm0574534/']	7.8	nm0001392
31	Titanic	Dec	19	1997	200.0	658.672302	2207.615668	/title/tt0120338/?ref_=fn_al_tt_1	['English', 'Swedish']	['USA']	['Drama', 'Romance']	['nm0000138/', 'nm0000701/', 'nm0000708/', 'nm0000870/', 'nm0004920/', 'nm0001784/', 'nm0000200/', 'nm0384060/', 'nm0001831/', 'nm0001255/']	7.4	nm0919363
32	Finding Dory	Jun	17	2016	200.0	484.434568	985.234568	/title/tt2277860/?ref_=fn_al_tt_1	['English', 'Indonesian']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm0001122/', 'nm0000983/', 'nm0642145/', 'nm0647698/', 'nm5348776/', 'nm0123092/', 'nm0000473/', 'nm0506405/', 'nm8204463/', 'nm0252961/']	8.3	nm0000116
33	Toy Story 3	Jun	18	2010	200.0	415.00488	1069.818229	/title/tt0435761/?ref_=fn_al_tt_1	['English', 'Spanish']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm0000158/', 'nm0000741/', 'nm0000349/', 'nm0000885/', 'nm0725543/', 'nm0000474/', 'nm0001728/', 'nm0001652/', 'nm0364680/', 'nm0606658/']	7.2	nm0004056
34	Iron Man 3	May	3	2013	200.0	408.992272	1215.392272	/title/tt1300854/?ref_=fn_al_tt_1	['English']	['China', 'USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0000375/', 'nm0000569/', 'nm0000332/', 'nm0001602/', 'nm0356017/', 'nm0269463/', 'nm0001426/', 'nm0197647/', 'nm1210895/', 'nm0079273/']	7.3	nm0533691
35	Spider-Man 2	Jun	30	2004	200.0	373.524485	783.705001	/title/tt0316654/?ref_=fn_al_tt_1	['English', 'Russian', 'Chinese']	['USA']	['Action', 'Adventure']	['nm0001497/', 'nm0000379/', 'nm0290556/', 'nm0000547/', 'nm0365281/', 'nm0799777/', 'nm0614220/', 'nm0319171/', 'nm0048414/', 'nm0638056/']	6.5	nm0881279
36	Skyfall	Nov	8	2012	200.0	304.360277	1110.526981	/title/tt1074638/?ref_=fn_al_tt_1	['English']	['UK', 'USA']	['Action', 'Adventure', 'Thriller']	['nm0185819/', 'nm0001132/', 'nm0000849/', 'nm0000146/', 'nm0365140/', 'nm2966102/', 'nm0001215/', 'nm0924210/', 'nm1239499/', 'nm0635262/']	7.3	nm0000600
37	Monsters University	Jun	21	2013	200.0	268.488329	743.588329	/title/tt1453405/?ref_=fn_al_tt_1	['English']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm0000345/', 'nm0000422/', 'nm0000114/', 'nm0000545/', 'nm0812307/', 'nm0615063/', 'nm0005003/', 'nm0004929/', 'nm0206359/', 'nm0000547/']	6.3	nm0000318
38	Oz the Great and Powerful	Mar	8	2013	200.0	234.770996	490.359051	/title/tt1623205/?ref_=fn_al_tt_1	['English']	['USA']	['Adventure', 'Family', 'Fantasy']	['nm0290556/', 'nm0005109/', 'nm0001838/', 'nm0931329/', 'nm0103785/', 'nm0167850/', 'nm1428821/', 'nm0185272/', 'nm1242679/', 'nm0817844/']	8.0	nm0005222
39	X-Men: Days of Future Past	May	23	2014	200.0	233.921534	747.862775	/title/tt1877832/?ref_=fn_al_tt_1	['English', 'Vietnamese', 'French']	['USA', 'UK', 'Canada']	['Action', 'Adventure', 'Sci-Fi']	['nm0413168/', 'nm0564215/', 'nm1055413/', 'nm2225369/', 'nm0000932/', 'nm0396558/', 'nm0001593/', 'nm0680983/', 'nm0227759/', 'nm0039162/']	6.7	nm0768959
40	The Amazing Spider-Man 2	May	2	2014	200.0	202.853933	708.996336	/title/tt1872181/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm1940449/', 'nm1297015/', 'nm0004937/', 'nm2851530/', 'nm0272173/', 'nm0428065/', 'nm0316079/', 'nm0000398/', 'nm0001110/', 'nm0001714/']	6.2	nm0000600
41	Cars 2	Jun	24	2011	200.0	191.450875	560.155383	/title/tt1216475/?ref_=fn_al_tt_1	['English', 'Japanese', 'Italian', 'French']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm1249256/', 'nm0005562/', 'nm0000323/', 'nm0607865/', 'nm0412850/', 'nm0001806/', 'nm0615554/', 'nm0001505/', 'nm0470981/', 'nm0414772/']	6.8	nm0001741
42	Tron: Legacy	Dec	17	2010	200.0	172.062763	397.562763	/title/tt1104001/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0000313/', 'nm1330560/', 'nm1312575/', 'nm0000310/', 'nm0289656/', 'nm1683768/', 'nm0790688/', 'nm2832723/', 'nm2100657/', 'nm1861624/']	5.8	nm1989536
43	2012	Nov	13	2009	200.0	166.112167	788.408539	/title/tt1190080/?ref_=fn_al_tt_1	['English', 'French', 'Tibetan', 'Mandarin', 'Russian', 'Hindi', 'Portuguese', 'Latin', 'Italian']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0000131/', 'nm0001605/', 'nm0252230/', 'nm0628601/', 'nm0001624/', 'nm0565336/', 'nm0000437/', 'nm0000418/', 'nm0416699/', 'nm2079681/']	6.6	nm0005124
44	Terminator Salvation	May	21	2009	200.0	125.322469	365.491792	/title/tt0438488/?ref_=fn_al_tt_1	['English', 'Italian']	['USA', 'Germany', 'UK', 'Italy']	['Action', 'Adventure', 'Drama']	['nm0000288/', 'nm0941777/', 'nm1291227/', 'nm0000307/', 'nm0947338/', 'nm3020026/', 'nm0397171/', 'nm0996669/', 'nm0000737/', 'nm0000461/']	5.6	nm0506977
45	Green Lantern	Jun	17	2011	200.0	116.601172	231.201172	/title/tt1133985/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0005351/', 'nm0515116/', 'nm0765597/', 'nm0835016/', 'nm0000209/', 'nm0761587/', 'nm0169806/', 'nm0000291/', 'nm0236451/', 'nm2633482/']	6.6	nm2676052
46	Prince of Persia: Sands of Time	May	28	2010	200.0	90.759676	314.594597	/title/tt0473075/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Fantasy']	['nm0350453/', 'nm2605345/', 'nm0001426/', 'nm0000547/', 'nm0869750/', 'nm1527905/', 'nm0185404/', 'nm0681975/', 'nm2201022/', 'nm1458629/']	6.3	nm0000386
47	Transformers: Dark of the Moon	Jun	29	2011	195.0	352.390543	1123.790543	/title/tt1399103/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0479471/', 'nm2492819/', 'nm0241049/', 'nm0001806/', 'nm0879085/', 'nm0001131/', 'nm0000531/', 'nm0000518/', 'nm0242656/', 'nm0925033/']	6.3	nm0629334
48	Jack the Giant Slayer	Mar	1	2013	195.0	65.187603	197.687603	/title/tt1351685/?ref_=fn_al_tt_1	['English']	['USA']	['Adventure', 'Fantasy']	['nm0396558/', 'nm1870434/', 'nm0000191/', 'nm0001804/', 'nm0550371/', 'nm0001971/', 'nm0574534/', 'nm0265457/', 'nm0523047/', 'nm4432847/']	7.2	nm0132709
49	Furious 7	Apr	3	2015	190.0	351.03291	1514.019071	/title/tt2820852/?ref_=fn_al_tt_1	['English']	['USA', 'Japan']	['Action', 'Crime', 'Thriller']	['nm0004874/', 'nm0908094/', 'nm0005458/', 'nm0735442/', 'nm0108287/', 'nm0879085/', 'nm0524839/', 'nm0425005/', 'nm0085407/', 'nm0000621/']	7.8	nm0001565
50	Star Trek Into Darkness	May	15	2013	190.0	228.778661	467.381584	/title/tt1408101/?ref_=fn_al_tt_1	['English', 'Klingon']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm1517976/', 'nm0704270/', 'nm0757855/', 'nm0881631/', 'nm0670408/', 'nm0158626/', 'nm1212722/', 'nm0947338/', 'nm0339304/', 'nm0000693/']	7.0	nm0000881
51	World War Z	Jun	21	2013	190.0	202.359711	531.51465	/title/tt0816711/?ref_=fn_al_tt_1	['English', 'Spanish', 'Hebrew', 'Arabic']	['USA']	['Action', 'Adventure', 'Horror']	['nm0000093/', 'nm0257969/', 'nm2020146/', 'nm0197647/', 'nm0091253/', 'nm0289142/', 'nm0596350/', 'nm0001556/', 'nm1175468/', 'nm0134922/']	7.3	nm0001741
52	Disney's A Christmas Carol	Nov	6	2009	190.0	137.855863	315.709697	/title/tt1067106/?ref_=fn_al_tt_1	['English']	['USA']	['Animation', 'Drama', 'Family']	['nm0000120/', 'nm0884313/', 'nm0754512/', 'nm2744955/', 'nm2961916/', 'nm2452327/', 'nm0656116/', 'nm1714720/', 'nm1767820/', 'nm0391327/']	7.0	nm0009190
53	Pacific Rim	Jul	12	2013	190.0	101.802906	411.002906	/title/tt1663662/?ref_=fn_al_tt_1	['English', 'Japanese', 'Cantonese', 'Mandarin']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0402271/', 'nm1459109/', 'nm0252961/', 'nm0452860/', 'nm0206359/', 'nm1218607/', 'nm0242882/', 'nm2059117/', 'nm0004286/', 'nm0000579/']	6.7	nm0286975
54	The Good Dinosaur	Nov	25	2015	187.5	123.08712	334.354269	/title/tt1979388/?ref_=fn_al_tt_1	['English']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm0942482/', 'nm0000531/', 'nm5558187/', 'nm4455823/', 'nm7050523/', 'nm3851090/', 'nm2358105/', 'nm3603996/', 'nm0812307/', 'nm0001872/']	7.9	nm0525303
55	Iron Man	May	2	2008	186.0	318.604126	582.443126	/title/tt0371746/?ref_=fn_al_tt_1	['English', 'Persian', 'Urdu', 'Arabic', 'Hungarian']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0000375/', 'nm0005024/', 'nm0000313/', 'nm0000569/', 'nm0004753/', 'nm0869467/', 'nm0846687/', 'nm0163988/', 'nm0810488/', 'nm0046223/']	9.0	nm0000709
56	The Dark Knight	Jul	18	2008	185.0	533.345358	1002.891358	/title/tt0468569/?ref_=fn_al_tt_1	['English', 'Mandarin']	['USA', 'UK']	['Action', 'Crime', 'Drama']	['nm0000288/', 'nm0005132/', 'nm0001173/', 'nm0000323/', 'nm0350454/', 'nm0000198/', 'nm0000151/', 'nm1010931/', 'nm0212939/', 'nm0614165/']	6.2	nm0868219
57	Indiana Jones and the Kingdom of the Crystal Skull	May	22	2008	185.0	317.023851	786.558145	/title/tt0367882/?ref_=fn_al_tt_1	['English', 'German', 'Russian']	['USA']	['Action', 'Adventure', 'Fantasy']	['nm0000148/', 'nm0000949/', 'nm0000261/', 'nm0479471/', 'nm0935653/', 'nm0000457/', 'nm0000980/', 'nm1216826/', 'nm0224929/', 'nm0901679/']	7.2	nm0812307
58	Brave	Jun	22	2012	185.0	237.282182	554.606532	/title/tt1217209/?ref_=fn_al_tt_1	['English']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm0531808/', 'nm0175262/', 'nm0000668/', 'nm0910278/', 'nm0001059/', 'nm0571727/', 'nm0272401/', 'nm0455435/', 'nm0292115/', 'nm5104064/']	7.1	nm0269463
59	Star Trek Beyond	Jul	22	2016	185.0	158.526005	336.326005	/title/tt2660888/?ref_=fn_al_tt_1	['English']	['USA', '', 'China']	['Action', 'Adventure', 'Sci-Fi']	['nm1517976/', 'nm0704270/', 'nm0881631/', 'nm0757855/', 'nm0670408/', 'nm0158626/', 'nm0947338/', 'nm0252961/', 'nm1154749/', 'nm3029144/']		nm0634240
60	Maleficent	May	30	2014	180.0	241.407328	758.536735	/title/tt1587310/?ref_=fn_al_tt_1	['English']	['USA']	['Action', 'Adventure', 'Family']	['nm0001401/', 'nm1102577/', 'nm1663205/', 'nm0544334/', 'nm0001767/', 'nm1017334/', 'nm0727165/', 'nm4154798/', 'nm0186469/', 'nm0282332/']	8.4	nm0028764
61	WALL-E	Jun	27	2008	180.0	223.808164	532.590994	/title/tt0910970/?ref_=fn_al_tt_1	['English']	['USA']	['Animation', 'Adventure', 'Family']	['nm0123785/', 'nm2264184/', 'nm0307531/', 'nm0929609/', 'nm3050831/', 'nm0001652/', 'nm0001562/', 'nm0000244/', 'nm0628599/', 'nm0074036/']	6.2	nm0152312
62	Rush Hour 3	Aug	10	2007	180.0	140.125968	256.585882	/title/tt0293564/?ref_=fn_al_tt_1	['English', 'French', 'Japanese', 'Mandarin', 'Latin']	['USA', 'Germany']	['Action', 'Comedy', 'Crime']	['nm0000676/', 'nm0000329/', 'nm0001884/', 'nm0760796/', 'nm0040939/', 'nm0473802/', 'nm1105708/', 'nm1846368/', 'nm0002245/', 'nm0412374/']	6.3	nm0510912
63	The Legend of Tarzan	Jul	1	2016	180.0	126.643061	349.143061	/title/tt0918940/?ref_=fn_al_tt_1	['English', 'Lingala', 'French']	['UK', 'Canada', 'USA']	['Action', 'Adventure', 'Drama']	['nm0002907/', 'nm4920741/', 'nm7222287/', 'nm0910607/', 'nm0000168/', 'nm3053338/', 'nm7760612/', 'nm3247700/', 'nm2950654/', 'nm6431237/']	7.5	
64	Hugo	Nov	23	2011	180.0	73.864507	180.047784	/title/tt0970179/?ref_=fn_al_tt_1	['English']	['USA']	['Adventure', 'Drama', 'Family']	['nm0001426/', 'nm0056187/', 'nm2633535/', 'nm1631269/', 'nm0935653/', 'nm0607865/', 'nm0000489/', 'nm0567031/', 'nm0836121/', 'nm0209428/']	5.3	nm0834902
65	Jupiter Ascending	Feb	6	2015	179.0	47.482519	181.982519	/title/tt1617661/?ref_=fn_al_tt_1	['English', 'Russian']	['USA', 'Australia']	['Action', 'Adventure', 'Sci-Fi']	['nm0005109/', 'nm1475594/', 'nm0000293/', 'nm1519666/', 'nm3150488/', 'nm3095562/', 'nm0025458/', 'nm1268047/', 'nm5260828/', 'nm0863130/']	7.0	nm0004056
66	X-Men: Apocalypse	May	27	2016	178.0	155.442489	542.742489	/title/tt3385516/?ref_=fn_al_tt_1	['English', 'Polish', 'German', 'Arabic', 'Egyp']	['USA']	['Action', 'Adventure', 'Sci-Fi']	['nm0564215/', 'nm1055413/', 'nm2225369/', 'nm0396558/', 'nm1209966/', 'nm0126284/', 'nm1404239/', 'nm2890541/', 'nm3849842/', 'nm4446467/']	7.9	nm0711840
67	Edge of Tomorrow	Jun	6	2014	178.0	100.206256	364.406256	/title/tt1631867/?ref_=fn_al_tt_1	['English']	['USA', 'Canada']	['Action', 'Adventure', 'Sci-Fi']	['nm0000129/', 'nm1289434/', 'nm0322407/', 'nm0000200/', 'nm1765073/', 'nm0915453/', 'nm0348748/', 'nm2621030/', 'nm2800616/', 'nm2731660/']	7.5	nm0946734
68	Inside Out	Jun	19	2015	175.0	356.461711	853.923085	/title/tt2096673/?ref_=fn_al_tt_1	['English']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm0688132/', 'nm0809613/', 'nm0454236/', 'nm0352778/', 'nm0085400/', 'nm1411676/', 'nm4609731/', 'nm0000178/', 'nm0001492/', 'nm0005323/']	6.1	nm0905154
69	Suicide Squad	Aug	5	2016	175.0	321.423924	735.023924	/title/tt1386697/?ref_=fn_al_tt_1	['English', 'Japanese', 'Spanish']	['USA']	['Action', 'Adventure', 'Fantasy']	['nm0000226/', 'nm2968738/', 'nm0054697/', 'nm3053338/', 'nm0246024/', 'nm2262926/', 'nm0205626/', 'nm0926471/', 'nm1092086/', 'nm0235960/']	8.3	nm0905152
70	Up	May	29	2009	175.0	293.004164	731.542621	/title/tt1049413/?ref_=fn_al_tt_1	['English']	['USA']	['Animation', 'Adventure', 'Comedy']	['nm0000799/', 'nm0001626/', 'nm2973712/', 'nm0677037/', 'nm0005148/', 'nm0710019/', 'nm0001652/', 'nm0443286/', 'nm3423667/', 'nm3422941/']	6.5	nm0001741
